title,app_id,manifest_version,script-scr:unsafe-eval,script-scr:unsafe-eval-base64-hash,script-scr:unsafe-inline,script-scr:unsafe-inline-base64-hash,script-src:non-localhost-http-url,style-scr:unsafe-eval,style-scr:unsafe-eval-base64-hash,style-scr:unsafe-inline,style-scr:unsafe-inline-base64-hash,style-src:non-localhost-http-url,good#default-src,good#base-uri,good#form-action,good#frame-ancestors,good#plugin-types,good#report-uri,good#sandbox
TransOver,aggiiclaiamajehmlfpkjmlbadmkledi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just a Clock - the Hours,agglgohcegmeeaccikjfmehncfomccpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just Black,aghfnjkcakhmadgdomlmlhhaocbkloab,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WowMusix Start,agibagflppafhfonkefpklndlohkclcb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gacha Life New Tab & Wallpapers Collection,agjifjfbkagnaljhglmaogompbnaleoa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tagboard for Google Chrome,agmolhhbbencbnegdoifnnobajpemfan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kino no Tabi HD Wallpaper New Tab,agpijpbfbjfdahhjjigjbhfeogijlajm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drift Rush 3D,agpmabebcodnggpdjbombhpbpcifbfkg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Button | the webpage X-ray,ahbcoeleapdfhmlnjglbiaddohfncace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Boost - Wait Less Browse Faster,ahbkhnpmoamidjgbneafjipbmdfpefad,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet Corvette Stingray New Tab,ahcnooagpknbjbonmgaebkcngmcfedjp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brawl Stars Full HD Custom New Tab,ahdnphlmmngadkbnfjfcdglahcihgnhj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Tab - Movie News Wallpapers & Themes,ahfiibejcnojcncfgajadjcdeaamogil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrari LaFerrari Wallpaper HD Custom New Tab,ahjdbnbmghldipdemcnflkjkkhdnbidp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mickey Mouse Wallpaper HD New Tab Themes,ahjnfejgipbmjgjbibpcgbkmjhknlnnb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recipe Filter,ahlcdjbkdaegmljnnncfnhiioiadakae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
